0 24 48
23700 23 30
23700 38 80
23700 85 91
24000 7 76
24000 12 16
24000 14 37
24000 27 81
24000 35 75
24300 14 37
24300 37 58
24300 44 51
24600 4 86
24600 9 73
24600 9 62
24600 24 48
24900 12 77
24900 12 84
24900 26 32
24900 77 84
25200 29 53
25500 22 50
25800 20 40
25800 29 53
26100 8 26
26100 9 28
26100 9 62
26100 22 64
26100 28 73
26400 5 18
26400 5 11
26400 62 73
26700 19 59
26700 19 76
26700 21 61
26700 24 45
26700 25 47
26700 27 57
26700 28 69
26700 44 51
26700 53 66
27000 8 26
27000 29 53
27000 50 74
27000 53 69
27300 3 5
27300 9 29
27300 11 48
27300 11 24
27300 24 48
27300 57 88
27300 74 86
27600 26 32
27900 0 45
27900 7 78
27900 7 21
27900 14 24
28200 23 30
28200 49 74
28200 49 55
28200 55 74
28200 69 73
28500 29 53
28500 37 58
28500 50 86
28500 51 65
28800 13 88
28800 21 88
28800 29 53
28800 29 69
28800 45 83
28800 50 74
28800 55 79
29100 62 73
29100 71 83
29400 5 72
29400 5 37
29400 22 26
29400 22 37
29400 22 72
29400 26 37
29400 26 72
29400 29 53
29400 37 72
29400 53 63
29700 7 56
29700 9 62
30000 1 84
30000 1 59
30000 6 84
30000 9 73
30000 20 84
30000 28 69
30000 67 84
30000 84 88
30300 3 14
30300 3 44
30300 9 73
30300 9 19
30300 9 62
30300 11 44
30300 19 73
30300 29 63
30300 62 73
30300 62 66
30600 7 81
30600 14 45
30600 57 60
30900 3 72
30900 22 38
30900 22 32
31200 8 26
31500 9 19
31500 9 62
31500 9 73
31500 19 73
31500 45 65
31500 62 73
31800 9 73
31800 9 62
32100 11 23
32100 23 69
32100 53 63
32400 17 68
32400 18 34
32400 35 75
32400 35 36
32400 36 75
32700 9 62
32700 29 53
32700 50 74
32700 58 72
33000 9 28
33000 9 69
33000 9 63
33000 17 68
33000 28 73
33000 28 70
33000 28 30
33000 28 69
33000 30 62
33000 35 75
33000 53 62
33000 53 70
33000 61 62
33300 67 84
33600 7 12
33600 38 69
33900 8 26
33900 22 71
33900 38 85
33900 38 90
33900 39 65
33900 58 85
33900 72 90
34200 22 38
34200 25 28
34200 25 53
34200 28 53
34200 53 69
34500 29 53
34500 69 70
34800 28 66
35100 22 32
35100 53 70
35400 4 79
35400 16 84
35700 5 24
35700 5 65
35700 9 66
35700 9 13
35700 24 32
35700 57 60
36000 23 69
36300 24 58
36300 28 84
36300 28 62
36600 11 23
36600 21 30
36600 23 69
36600 37 58
36600 74 86
36900 7 76
36900 9 63
37200 22 64
37200 28 73
37500 11 44
37500 24 48
37800 6 40
37800 9 73
37800 9 61
37800 50 86
38100 18 90
38100 23 30
38100 35 75
38100 46 84
38100 50 86
38100 50 60
38100 57 88
38100 62 73
38400 15 33
38700 5 85
38700 5 72
38700 55 86
38700 72 80
38700 80 85
39000 23 29
39000 55 74
39300 12 58
39300 58 72
39300 59 78
39300 65 72
39600 11 24
39600 24 48
39900 3 51
39900 3 23
39900 23 49
39900 28 69
39900 42 51
39900 52 75
39900 80 90
40200 17 80
40200 21 84
40200 24 48
40200 35 75
40200 46 84
40500 35 75
40500 55 86
40800 0 48
40800 8 90
40800 29 53
41100 3 11
41100 28 76
41100 57 76
41400 7 12
41400 29 53
41700 11 44
41700 11 30
41700 24 48
42000 3 5
42000 3 22
42000 5 18
42000 11 24
42000 18 22
42000 22 64
42000 55 79
42300 0 14
42300 9 62
42300 29 53
42300 37 58
42600 8 50
42600 9 62
42600 38 58
42600 38 45
42600 50 75
42900 35 75
42900 35 52
42900 52 75
43200 9 73
43200 16 88
43200 21 69
43200 22 64
43200 53 70
43500 17 18
43500 29 53
43500 36 79
43800 21 69
43800 29 53
43800 75 79
44100 32 38
44400 37 58
44700 24 48
44700 46 84
44700 79 86
45000 0 14
45000 8 54
45000 8 32
45000 8 26
45000 22 91
45000 25 39
45000 39 51
45300 22 38
45300 29 53
45300 29 30
45300 29 66
45300 30 53
45600 7 46
45600 17 18
45600 17 68
45600 45 58
45900 9 28
45900 9 63
45900 9 69
45900 28 69
45900 28 70
46200 21 69
46200 24 45
46500 50 84
46800 21 59
47100 3 5
47100 29 63
47100 29 73
47100 50 88
47400 8 30
47400 8 90
47400 9 73
47400 15 67
47400 52 75
47400 53 73
47700 9 73
47700 9 19
47700 33 88
47700 50 75
48000 17 34
48000 28 70
48300 45 58
48300 45 72
48300 63 70
48600 9 69
48600 9 66
48600 9 62
48600 12 57
48600 27 75
48600 50 74
48600 62 69
48600 80 85
48900 9 73
49200 9 62
49200 22 85
49200 29 53
49200 29 30
49200 50 86
49500 21 46
49500 24 48
49500 26 31
49500 75 79
49800 0 24
49800 45 58
49800 50 86
49800 55 74
50100 17 68
50100 45 58
50100 63 70
50100 64 77
50400 8 26
50400 44 51
50700 22 85
51000 28 62
51000 28 29
51000 29 53
51300 17 18
51600 4 36
51600 14 24
51600 27 56
51600 27 60
51600 28 53
51600 29 70
51600 29 53
51600 45 65
51600 65 72
51900 1 12
51900 5 45
51900 9 73
51900 9 62
52200 7 58
52200 15 33
52200 44 52
52500 0 24
52500 50 86
52500 56 84
52800 35 75
52800 39 58
52800 65 84
52800 79 88
53100 5 21
53100 21 84
53400 9 63
53400 9 73
53700 9 73
53700 50 86
54000 11 57
54000 22 64
54000 29 30
54000 30 63
54000 47 58
54000 56 57
54300 7 27
54600 2 28
54600 2 39
54600 11 34
54600 28 38
54600 61 86
54600 77 86
54900 7 58
54900 12 15
54900 15 33
55200 17 68
55200 29 53
55200 35 49
55200 57 60
55500 0 65
55500 0 14
55500 22 64
55500 24 48
55500 44 51
55800 5 14
55800 37 58
56100 1 16
56100 35 84
56100 35 52
56400 25 86
56400 29 53
56400 50 86
56700 9 28
56700 9 63
57000 12 88
57000 17 18
57000 55 74
57300 23 49
57300 25 49
57300 28 69
57300 37 77
57300 52 75
57300 53 61
57600 9 62
57600 53 63
57900 0 24
57900 5 34
57900 23 29
57900 29 30
58200 4 41
58200 27 57
58200 28 69
58500 22 64
58500 24 48
58500 77 82
58800 14 44
58800 14 22
59100 0 14
59400 8 58
59400 14 58
59400 19 27
59400 27 50
59400 27 84
59400 27 35
59400 27 52
59400 27 75
59400 35 75
59400 35 38
59400 45 58
59400 58 72
59700 7 84
59700 44 65
59700 58 65
60000 7 25
60000 16 25
60000 30 66
60300 4 50
60300 15 67
60300 28 69
60300 30 66
60300 44 51
60300 52 75
60300 55 86
60600 9 66
60600 14 24
60600 24 58
60600 28 84
60900 2 15
60900 9 73
60900 17 18
60900 35 75
61200 0 48
61200 9 77
61200 9 62
61200 28 73
61200 44 51
61500 5 14
61500 29 70
61500 44 51
61800 15 27
61800 23 30
61800 29 71
61800 37 58
62100 28 70
62400 11 23
62700 9 30
62700 29 53
62700 30 62
62700 37 77
62700 49 52
62700 52 84
63000 3 80
63300 3 5
63300 9 62
63300 9 29
63300 11 24
63300 11 48
63300 18 37
63300 24 48
63600 15 33
63600 25 86
63900 29 53
63900 57 88
64200 17 68
64200 28 69
64200 29 53
64200 37 82
64200 44 51
64500 7 12
64500 23 29
64800 1 12
64800 9 73
64800 9 62
64800 51 71
65100 24 48
65100 29 53
65100 35 75
65400 8 26
65400 28 70
65700 5 39
65700 35 87
65700 35 86
65700 35 52
66000 29 70
66000 29 69
66000 29 53
66000 53 63
66000 59 78
66000 85 91
66300 9 62
66300 16 88
66300 23 53
66300 28 73
66300 29 73
66300 35 52
66300 53 73
66600 29 63
66900 14 58
66900 21 61
67200 1 7
67200 7 40
67200 33 59
67500 29 53
67800 22 64
67800 24 48
68100 16 84
68100 28 73
68100 44 51
68400 14 24
68700 0 51
68700 17 18
68700 26 65
68700 29 53
68700 45 72
69000 17 18
69000 22 58
69000 22 32
69000 32 58
69300 5 80
69300 5 18
69300 18 80
69600 44 86
69600 58 65
69900 24 31
69900 31 48
69900 81 88
70200 14 22
70200 14 39
70200 21 84
70200 30 90
70200 59 78
70500 17 68
70500 42 50
70800 9 73
70800 29 63
71100 5 39
71100 14 58
71100 40 88
71100 49 55
71400 22 64
71400 24 48
71400 44 51
71400 52 87
71400 77 82
71700 40 56
72000 16 25
72000 52 87
72300 19 86
72600 4 87
72600 9 62
72600 22 85
72600 29 53
72600 36 50
72600 84 89
72900 21 84
72900 23 29
72900 51 65
73200 20 35
73200 29 61
73200 39 45
73200 42 79
73200 52 84
73200 56 84
73200 84 87
73500 5 34
73500 29 63
73800 28 53
73800 44 51
74100 5 22
74100 23 61
74400 14 24
74400 14 58
74400 24 58
74700 19 73
74700 52 75
75000 19 78
75000 21 63
75000 29 53
75300 32 80
75300 50 74
75600 14 58
75600 25 79
75900 25 87
76200 24 48
76200 57 76
76500 9 63
76500 28 70
76500 28 53
76500 37 65
76500 53 70
76500 61 62
76800 11 24
76800 49 55
77100 31 71
77400 8 26
77400 21 61
77400 22 64
77700 7 78
77700 20 35
77700 29 73
77700 35 52
77700 56 87
77700 56 84
77700 63 70
77700 84 87
78000 0 14
78000 41 79
78000 53 69
78000 77 82
78300 1 59
78300 29 53
78300 75 79
78600 37 58
78600 44 52
78900 5 72
78900 5 37
78900 5 22
78900 18 72
78900 22 37
78900 22 72
78900 22 26
78900 26 72
78900 26 37
78900 26 71
78900 28 73
78900 37 72
79200 8 26
79200 49 74
79500 11 48
79500 22 32
79500 58 65
79800 22 64
79800 24 48
79800 77 82
80100 7 16
80100 7 25
80100 16 25
80100 17 18
80100 30 66
80400 44 51
80400 77 82
80700 24 48
80700 24 45
80700 29 63
80700 29 70
80700 39 45
80700 42 50
80700 42 65
80700 45 72
80700 45 48
81000 27 73
81000 29 53
81000 37 84
81000 49 86
81000 49 50
81300 29 53
81600 29 53
81600 37 58
81900 14 48
81900 23 30
81900 24 48
81900 39 58
81900 45 58
81900 45 72
81900 58 72
82200 3 8
82200 14 85
82200 19 79
82200 24 48
82200 45 65
82500 5 54
82500 7 59
82500 9 62
82500 62 69
82800 15 33
82800 22 85
82800 22 32
82800 28 66
82800 53 63
82800 58 72
83100 24 48
83400 7 88
83700 8 26
83700 29 53
83700 36 79
83700 36 55
83700 55 79
84000 7 25
84000 9 72
84000 22 64
84000 35 52
84300 29 53
84600 50 86
84900 23 29
85200 39 58
85200 79 84
85200 79 88
85500 24 48
85500 35 52
85500 39 45
85500 57 62
85800 38 58
85800 59 78
85800 76 78
86100 0 48
86100 9 62
86100 15 67
86100 16 59
86100 24 48
86100 28 30
86100 28 69
86100 44 51
86100 52 75
86100 62 73
86400 7 58
86400 29 53
86400 35 48
86400 55 79
86700 12 60
86700 19 75
86700 35 75
86700 35 50
86700 50 75
86700 50 52
86700 52 75
87000 9 28
87000 9 63
87000 28 69
87000 37 77
87300 32 85
87300 50 86
87600 29 53
87600 39 51
87600 53 63
87600 53 69
87600 66 69
87900 55 79
87900 75 79
88200 4 50
88200 4 52
88200 14 24
88200 21 69
88200 29 53
88500 5 18
88500 7 88
88500 16 88
88500 28 73
88500 29 53
88500 39 51
88500 49 86
88500 49 55
88500 55 86
88800 0 24
88800 9 66
88800 23 29
89100 9 73
89100 9 62
89100 17 18
89100 50 74
89100 53 69
89400 9 62
89400 29 73
89400 29 63
89700 36 50
90000 14 22
90300 1 78
90300 9 19
90300 19 42
90300 19 50
90300 33 88
90300 58 72
90300 62 73
90600 29 63
90900 2 15
90900 3 14
90900 7 50
90900 9 62
90900 9 73
91200 21 56
91200 36 50
91500 23 30
91500 24 48
91800 29 63
92100 14 37
92100 35 87
92100 35 52
92100 44 51
92400 28 84
92400 35 75
92400 39 51
92400 55 75
92700 28 53
93000 14 32
93300 12 58
93300 43 58
93300 44 45
93300 79 88
93600 27 60
93600 29 63
93900 53 70
94200 1 7
94200 9 73
94200 9 62
94200 14 51
94200 23 29
94200 28 29
94200 29 53
94200 49 55
94500 1 7
94500 1 27
94500 7 27
94500 14 37
94500 29 53
94800 42 84
94800 52 84
94800 53 63
95100 4 74
95100 24 48
95100 35 75
95400 15 33
95400 60 81
95400 76 88
95700 9 73
95700 28 84
95700 28 76
95700 76 84
96000 24 48
96300 11 24
96600 0 24
96900 7 12
96900 29 53
96900 45 83
96900 50 74
97200 9 62
97200 9 45
97200 12 57
97200 13 50
97200 14 85
97200 14 24
97200 27 75
97200 45 61
97200 45 83
97200 50 74
97500 29 53
97800 21 84
98100 11 23
98100 23 69
98100 45 58
98400 18 22
98400 22 85
98400 28 66
98400 80 85
98700 11 48
98700 49 84
98700 50 74
98700 75 88
98700 79 88
99000 9 53
99000 29 53
99000 37 58
99000 50 86
99000 53 73
99300 21 84
99300 22 85
99600 9 62
99900 11 24
99900 11 51
99900 17 68
99900 22 64
99900 27 51
99900 27 68
100200 29 53
100200 37 58
100200 44 51
100200 67 76
100500 7 86
100800 5 18
101100 2 15
101100 23 30
101400 3 65
101400 9 73
101400 17 51
101400 51 68
101700 16 76
101700 32 38
102000 5 85
102000 76 78
102300 3 14
102300 4 86
102300 7 12
102300 9 28
102600 28 70
102600 39 72
102600 72 90
102900 17 18
102900 32 38
103200 12 16
103200 27 81
103200 39 57
103200 50 86
103500 59 76
103800 22 85
103800 46 89
104100 11 44
104400 24 45
104400 29 53
104400 37 58
104400 44 51
104700 4 50
104700 9 62
104700 23 30
104700 30 44
104700 35 52
104700 46 49
104700 49 86
104700 53 70
105000 50 74
105300 18 37
105300 29 53
105300 35 55
105300 39 72
105300 80 85
105600 11 26
105600 35 75
105900 12 56
105900 56 58
106200 5 14
106500 22 64
106500 35 79
106500 77 82
106800 17 18
106800 29 61
106800 44 51
107100 1 78
107100 7 78
107100 21 76
107100 24 48
107100 77 82
107400 0 24
107400 17 68
107700 14 18
107700 25 58
107700 29 53
107700 35 75
107700 50 75
107700 53 63
107700 56 60
108000 14 50
108000 22 64
108000 30 66
108000 44 86
108300 2 10
108300 10 16
108300 10 33
108300 11 84
108300 12 44
108300 24 31
108300 39 51
108300 51 58
108300 58 65
108600 0 14
108600 0 3
108600 3 14
108600 7 78
108900 0 14
108900 9 62
108900 12 32
108900 17 51
108900 21 56
108900 24 45
108900 28 62
108900 56 60
109200 3 43
109200 29 53
109500 9 63
109500 28 70
109500 35 75
109800 11 44
109800 19 28
109800 25 86
109800 35 75
109800 35 52
109800 45 65
109800 52 75
110100 24 58
110400 9 62
110400 9 19
110400 22 64
110400 24 48
110400 38 44
110700 17 68
110700 28 45
110700 44 45
111000 12 58
111000 39 58
111000 79 88
111300 14 24
111300 22 77
111600 29 63
111600 50 86
111900 21 56
111900 24 48
112200 9 62
112200 35 75
112500 28 70
112800 7 27
112800 27 60
112800 27 57
112800 28 61
112800 29 53
112800 49 74
112800 57 60
113100 44 51
113100 88 89
113400 17 18
113700 0 14
113700 7 16
113700 8 60
113700 15 67
114000 7 16
114000 9 29
114000 22 32
114000 52 55
114000 55 74
114300 0 24
114300 5 24
114300 39 58
114300 79 88
114600 8 83
114600 29 53
114600 44 51
114900 7 25
114900 35 84
114900 52 84
115200 29 53
115200 37 77
115500 18 37
115500 53 70
115800 7 25
115800 22 64
115800 49 84
115800 50 84
115800 50 52
115800 52 84
116100 5 47
116100 9 28
116100 9 63
116100 9 69
116100 9 73
116100 9 62
116100 24 48
116100 28 73
116400 29 53
116700 16 46
116700 35 84
116700 44 51
116700 57 88
117000 35 75
117000 50 86
117300 0 45
117300 29 53
117300 37 58
117300 37 47
117600 11 77
117600 12 27
117600 17 34
117600 22 48
117600 27 81
117600 27 48
117600 27 77
117600 48 64
117600 64 77
117900 29 53
118200 9 62
118200 24 31
118200 24 48
118200 31 48
118500 14 24
118500 29 63
118500 35 75
118500 59 76
118800 49 74
119100 9 23
119100 9 62
119400 69 70
119700 14 72
119700 28 53
120000 2 10
120000 6 10
120000 6 12
120000 11 58
120000 16 53
120000 16 70
120000 39 65
120000 44 51
120000 51 58
120000 51 65
120000 53 70
120000 58 65
120000 67 84
120000 79 84
120000 84 86
120300 7 27
120300 8 17
120300 8 51
120300 8 39
120300 8 14
120300 14 51
120300 14 90
120300 19 51
120300 39 51
120300 51 90
120600 29 53
120900 5 37
120900 5 13
120900 5 74
120900 9 62
120900 74 81
121200 29 70
121500 3 18
121500 9 62
121500 18 65
121500 29 53
121800 0 14
122100 9 62
122100 16 76
122100 17 68
122100 21 61
122100 24 37
122100 35 75
122100 42 75
122100 45 90
122100 55 79
122100 59 76
122400 8 79
122400 14 24
122400 21 69
122400 29 53
122400 45 58
122700 7 88
122700 17 51
122700 29 53
122700 29 63
122700 39 51
123000 14 24
123000 18 47
123300 3 14
123300 21 84
123300 28 73
123300 29 70
123300 45 65
123600 5 18
123600 7 88
123600 8 26
123600 53 63
123900 9 73
123900 63 70
124200 24 44
124200 29 63
124500 49 55
124800 22 72
124800 28 69
125100 14 58
125100 22 38
125400 4 86
125400 52 86
125700 9 62
125700 18 90
125700 23 30
125700 50 60
125700 50 57
125700 57 88
126000 18 37
126000 23 30
126000 38 91
126300 29 63
126300 50 84
126300 58 65
126300 59 76
126300 76 81
126600 37 58
126600 50 86
126900 3 19
126900 3 14
126900 9 14
126900 19 42
126900 29 63
127200 7 25
127200 28 69
127500 24 32
127800 12 42
128100 49 55
128100 49 86
128100 50 86
128100 52 55
128400 4 79
128400 9 29
128400 27 81
128700 0 48
128700 4 50
128700 9 73
128700 9 62
128700 15 67
128700 52 75
128700 53 66
129000 3 14
129000 9 62
129000 9 28
129000 9 44
129000 34 44
129000 44 45
129300 2 88
129300 7 58
129600 9 62
129600 11 44
129900 15 33
129900 25 55
129900 56 60
130200 1 33
130200 1 2
130200 1 6
130200 2 6
130200 6 84
130200 6 33
130200 10 84
130200 12 44
130200 33 44
130200 39 51
130200 51 58
130200 51 65
130200 56 84
130200 58 65
130200 67 84
130500 15 33
130500 46 76
130500 60 81
130800 3 14
130800 14 37
130800 16 84
130800 50 75
131100 1 6
131100 1 33
131100 1 40
131100 1 10
131100 1 16
131100 2 10
131100 5 39
131100 6 40
131100 6 10
131100 10 40
131100 10 38
131100 10 16
131100 12 44
131100 12 77
131100 16 33
131100 24 48
131100 33 40
131100 38 45
131100 38 85
131100 45 85
131400 20 35
131400 39 45
131400 42 79
131700 11 86
131700 12 86
131700 76 78
132000 1 88
132000 1 59
132000 22 32
132300 14 24
132300 50 55
132600 21 76
132600 21 69
132600 22 85
132900 29 53
132900 29 63
132900 45 65
132900 45 85
132900 58 65
133200 28 29
133200 29 70
133500 5 18
133500 29 90
133500 44 51
133500 45 64
133500 81 88
133800 29 53
134100 7 25
134100 19 79
134100 21 79
134100 21 61
134100 24 48
134100 24 45
134100 28 69
134100 61 66
134100 79 87
134400 2 15
134400 5 11
134400 14 19
134400 17 18
134400 19 79
134400 42 79
134700 22 38
135000 6 40
135000 24 45
135000 49 86
135000 57 60
135300 64 77
135600 4 55
135900 0 48
135900 8 90
135900 16 84
135900 29 53
136200 9 62
136200 29 53
136500 9 66
136500 9 62
136500 9 73
136500 11 84
136500 62 73
136800 0 45
136800 3 5
136800 9 29
136800 9 30
136800 9 70
136800 9 28
137100 34 84
137100 58 72
137100 80 85
137400 24 59
137400 29 53
137400 45 90
137400 53 63
137700 3 5
137700 29 63
138000 9 60
138000 15 33
138000 35 75
138300 7 16
138300 7 84
138300 7 25
138300 16 84
138300 16 25
138300 25 84
138300 50 84
138600 28 69
138600 29 70
138600 44 51
138900 2 10
138900 2 6
138900 3 14
138900 6 10
138900 11 14
138900 14 34
138900 27 46
138900 44 51
139200 52 79
139500 28 62
139500 29 53
139500 45 85
139500 45 65
139800 34 86
140100 4 52
140100 9 73
140100 9 69
140100 9 62
140100 29 53
140100 52 55
140100 55 79
140100 67 76
140400 2 10
140400 2 6
140400 6 10
140700 2 28
140700 5 22
140700 23 61
141000 3 5
141000 29 73
141000 50 86
141300 3 58
141600 3 44
141600 5 72
141600 7 58
141600 9 23
141900 9 73
141900 29 53
141900 53 73
142200 28 70
142500 17 18
142500 35 75
142500 39 90
142800 24 58
142800 32 80
142800 67 76
143100 9 62
143100 29 69
143100 50 74
143100 53 69
143100 55 79
143400 11 16
143400 35 51
143400 35 84
143400 40 57
143400 44 51
143400 44 45
143400 45 51
143400 53 70
143400 56 88
143400 57 88
143700 23 29
143700 29 63
143700 31 71
143700 52 79
144000 24 48
144000 52 84
144000 53 63
144300 7 76
144600 9 62
144600 12 16
144600 35 75
144600 57 60
144600 57 88
144600 58 90
144900 29 53
144900 35 75
144900 42 50
145200 1 76
145200 27 76
145200 35 79
145200 44 51
145200 77 82
145500 28 84
145800 58 65
145800 76 84
146100 17 18
146100 42 43
146100 45 58
146400 8 85
146400 8 37
146400 9 62
146400 21 61
146400 59 76
146700 7 58
146700 24 48
146700 29 53
146700 49 52
147000 19 73
147000 29 63
147000 56 84
147300 9 69
147300 9 63
147300 24 48
147300 28 70
147300 53 70
147300 61 62
147600 15 33
147600 49 50
147900 0 14
147900 12 88
147900 31 51
147900 51 71
148200 28 69
148200 29 53
148200 44 51
148500 22 64
148500 35 52
148500 44 51
148500 46 89
148800 50 86
148800 52 84
148800 52 75
148800 59 76
148800 75 84
149100 9 29
149100 14 48
149100 53 66
149400 3 22
149400 11 24
149400 42 79
149400 52 79
149400 55 79
149700 21 56
149700 24 48
150000 58 59
150000 59 76
150000 59 78
150000 60 81
150000 76 88
150300 7 25
150300 9 66
150300 22 64
150600 5 44
150600 11 44
150600 28 69
150600 29 70
150600 44 51
150900 28 69
151200 1 78
151200 29 70
151200 45 65
151500 7 27
151500 27 57
151500 57 60
151800 25 88
151800 29 53
151800 38 51
151800 45 58
151800 51 72
152100 12 43
152400 17 68
152400 50 86
152700 12 88
152700 22 85
152700 55 74
153000 0 14
153000 16 59
153000 53 69
153300 22 64
153600 0 24
153600 42 79
153600 42 44
153600 56 84
153900 3 85
153900 22 85
154200 1 33
154200 11 72
154200 14 37
154200 64 77
154500 3 72
154500 22 32
154500 52 79
154500 62 73
154500 79 86
154800 26 32
154800 57 60
155100 28 30
155400 29 53
155700 28 69
155700 30 66
155700 52 75
156000 29 63
156000 37 77
156000 55 86
156300 24 48
156300 52 75
156300 69 70
156600 0 48
156600 9 69
156600 9 43
156600 9 73
156600 15 67
156600 23 69
156600 30 66
156600 44 51
156600 52 75
156600 62 73
156600 69 73
156900 19 62
156900 21 56
156900 22 64
156900 77 82
157200 23 30
157200 42 76
157200 49 55
157500 24 48
157500 26 71
157500 29 53
157500 35 75
157800 24 48
157800 37 58
158100 29 53
158400 0 48
158400 0 14
158400 9 62
158400 18 68
158400 28 29
158700 51 54
158700 63 89
159000 9 62
159000 38 58
159000 38 45
159000 45 58
159300 24 48
159300 31 32
159600 11 69
159600 11 23
159600 23 69
159600 53 63
159900 40 88
159900 55 74
160200 23 30
160200 29 53
160200 29 30
160200 35 52
160200 37 84
160200 43 45
160200 44 51
160500 5 22
160500 5 72
160500 5 37
160500 22 37
160500 22 72
160500 22 26
160500 26 37
160500 29 53
160500 37 72
160500 37 90
160800 58 65
161100 30 53
161100 58 72
161400 5 84
161400 22 77
161400 24 48
161700 5 11
161700 18 37
161700 29 53
162000 0 48
162000 9 73
162000 15 67
162000 52 75
162300 34 84
162300 35 75
162300 55 74
162300 67 84
162600 9 62
162600 22 32
162600 76 78
162900 11 24
162900 19 59
162900 19 76
162900 37 72
162900 59 76
162900 70 73
163200 49 84
163500 39 72
163800 7 12
163800 22 91
163800 24 32
163800 33 84
163800 79 88
163800 85 91
164100 17 18
164100 22 32
164100 79 87
164400 29 69
164400 66 69
164700 42 51
164700 46 60
